"username";"followers_20180607";"followers_20180614";"followers_20180620";"following_20180607";"following_20180614";"following_20180620"
"takashi_usami39";138712;140403;142870;207;208;209
"takashi.08";133789;137983;146530;340;340;340
"tarekhamed_3";579191;583546;588307;232;232;232
"the_mitrovic1";6791;7143;7425;414;414;414
"thiago6";4413887;4439125;4445386;180;180;181
"thiagocionek";26457;31515;38053;149;151;155
"thiagosilva_33";12873828;12950340;13056054;1107;1113;1112
"thibautcourtois";4507771;4519349;4523256;393;399;405
"thom_lemar27";493529;517632;531197;256;257;257
"thomas12meunier";454585;461289;469317;291;294;297
"thomasdelaney";63589;74114;76649;641;644;642
"thomasvermaelen";2225871;2227492;2223492;152;153;154
"tim_cahill";343330;344935;348873;1105;1113;1125
"timowerner";345260;359084;380284;68;68;68
"tinjedvaj16";60932;61272;61335;277;278;280
"tobyalderweireld";306632;310851;314020;235;237;240
"tomijuric9";13274;13420;14070;399;397;396
"tomrogic18";125703;126330;127618;174;178;180
"toni.kr8s";17529394;17637019;17741779;88;89;89
"toniruediger";774517;779565;786742;292;294;299
"totosalvio";350658;355977;361697;436;439;434
"trentarnold98";719380;739778;748298;401;402;401
"trentsainsbury";30837;31158;31952;444;443;428
"tyronneebuehi_";16994;19297;20496;101;100;100
"urenam21";18689;22895;26985;451;468;488
"uros_spajic";18905;19409;20223;623;627;631
"uzoho4sure1";9483;10493;11798;917;916;916
"vahid.amiri.official";615783;616313;621339;120;119;119
"valonbera";115144;116843;149305;190;190;190
"vardy7";866003;870811;870683;35;35;35
"vecino";78855;84075;89326;26;68;68
"victorlindelof";944500;949060;954916;267;267;267
"victormoses";463710;469412;474843;52;53;53
"vincentkompany";1477217;1483819;1484832;204;205;205
"vladimir_gabulov";22801;22991;23812;361;360;359
"vladimirstojkovic";32162;32415;32936;221;222;222
"vuka1";13673;13856;14022;627;627;629
"wcarvalho14";339271;340034;340681;237;237;240
"wildercartagena";115475;128639;143110;490;485;495
"wilkpo";492241;499233;504565;323;325;320
"willianborges88";5972544;6061010;6172295;852;851;854
"willycaba";346828;364438;372725;406;411;411
"wojciech.szczesny1";1507658;1527126;1540229;221;221;221
"wtroostekong";65500;68071;72812;136;137;139
"yannickferreiracarrasco";802303;805148;807988;57;57;59
"yeltsintejeda";115623;117235;119125;685;687;689
"yerrymina";2199116;2237428;2273942;268;268;267
"ymeriah";7920;11169;13334;453;466;481
"ymvogo";23450;23697;24233;72;72;72
"ynsbelhandaofficial";606226;626757;679129;71;75;75
"yobar23";22936;24309;25722;722;717;710
"yoshinori_muto_09";33696;37025;43435;146;147;150
"yoshiyotun";373114;395466;417260;390;390;387
"yosoy8a";1186545;1209975;1430578;310;312;312
